SongTitle,ArtistName,AlbumName,Rating,Time
Pinball Wizard,The Who,Who's Greatest Hits,0,183
Saturday in the Park,Chicago,The Heart of Chicago 1967-1997,2,234
Shine a Little Love,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,6,252
Silence Is Golden,The Four Seasons,Gold Vault Of Hits,3,204
Tequila Sunrise,Eagles,Hell Freezes Over,9,208
Tin Cup Chalice,Jimmy Buffett,A1A,10,217
Touch Me,The Doors,The Best Of The Doors,9,192
Why Lady Why,Alabama,For the Record Disc 1,0,189
A Day in the Life,The Beatles,1967-1970,4,306
All My Loving,The Beatles,1962-1966,1,128
Be Still My Beating Heart,Sting,Fields Of Gold,7,332
"Bye, Bye, Baby (Baby Goodbye)",The Four Seasons,Gold Vault Of Hits,2,154
Cold as Ice,Foreigner,The Very Best And Beyond,7,200
"De Do Do Do, De Da Da Da",The Police,Every Breath You Take,0,247
First Look,Jimmy Buffett,Floridays,0,234
Free Bird [#][Outtake Version][Version],Lynyrd Skynyrd,Skynyrd's Innyrds,9,607
"Fun, Fun, Fun [Stereo]",The Beach Boys,20 Good Vibrations,5,123
Goodbye Yellow Brick Road,Elton John,The Very Best of Elton John,1,197
Hotel California,Eagles,Hell Freezes Over,3,432
Long Distance Runaround,Yes,Highlights,10,211
Love Her Madly,The Doors,The Best Of The Doors,6,197
Mamunia,Paul McCartney & Wings,Band on the Run,1,290
Norwegian Wood (This Bird Has Flown),The Beatles,1962-1966,9,125
Old Flame,Alabama,For the Record Disc 1,5,192
Reelin' in the Years,Steely Dan,Citizen,0,277
Senorita Margarita,Tim McGraw,Place in the Sun,6,230
The Ballad of John and Yoko,The Beatles,1967-1970,4,179
The Boxer,Simon & Garfunkel,Collected Works,3,313
Turn to Stone,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,2,229
Wishing You Were Here,Chicago,The Heart of Chicago 1967-1997,4,275
You Got to Me,Neil Diamond,The Essential Neil Diamond,9,168
All You Need Is Love,The Beatles,1967-1970,5,229
Baby Driver,Simon & Garfunkel,Collected Works,4,198
Can't Buy Me Love,The Beatles,1962-1966,0,133
Dawn (Go Away),The Four Seasons,Gold Vault Of Hits,1,169
Every Little Thing She Does Is Magic,The Police,Every Breath You Take,0,261
Feels So Right,Alabama,For the Record Disc 1,10,216
I Get Around,The Beach Boys,20 Good Vibrations,2,134
I Guess That's Why They Call It the Blues,Elton John,The Very Best of Elton John,6,285
Little Miss Magic,Jimmy Buffett,Coconut Telegraph,1,242
Nautical Wheelers,Jimmy Buffett,A1A,2,216
No Words,Paul McCartney & Wings,Band on the Run,9,158
Nowhere Man,The Beatles,1962-1966,1,164
Old Brown Shoe,The Beatles,1967-1970,2,200
"Red, Red Wine [Live]",Neil Diamond,The Essential Neil Diamond,4,161
Saturday Night's Alright for Fighting,Elton John,The Very Best of Elton John,0,296
Some Things Never Change,Tim McGraw,Place in the Sun,9,236
The Diary of Horace Wimp,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,8,258
The Only One,Chicago,The Heart of Chicago 1967-1997,5,361
The Unknown Soldier,The Doors,The Best Of The Doors,10,203
They Dance Alone,Sting,Fields Of Gold,2,430
Won't Get Fooled Again,The Who,Who's Greatest Hits,8,513
A Hard Day's Night,The Beatles,1962-1966,4,154
Brooklyn (Owes the Charmer Under Me),Steely Dan,Citizen,7,261
Confusion,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,1,222
Down On The Corner,Creedence Clearwater Revival,Chronicle Vol 1,6,164
Helen Wheels,Paul McCartney & Wings,Band on the Run,10,227
Here Comes the Sun,The Beatles,1967-1970,3,187
I Am the Walrus,The Beatles,1967-1970,6,274
I'm Still Standing,Elton John,The Very Best of Elton John,3,183
If I Ever Lose My Faith In You,Sting,Fields Of Gold,10,271
Invisible Sun,The Police,Every Breath You Take,10,223
Love in the First Degree,Alabama,For the Record Disc 1,1,199
Michelle,The Beatles,1962-1966,6,162
My Wife,The Who,Who's Greatest Hits,10,216
Save It For Me,The Four Seasons,Gold Vault Of Hits,9,159
Shut Down [Stereo],The Beach Boys,20 Good Vibrations,3,111
Thank The Lord For The Night Time,Neil Diamond,The Essential Neil Diamond,0,180
